ID,Name,NumYears,MinYear,MeanYear,StdDevYears,MaxYear
1,A. Dalpke,1,2020,2020,0,2020
2,A. J. Fenlon,1,2000,2000,0,2000
3,A. J. S. Hin,1,1995,1995,0,1995
4,A. J. S. Wilson,1,1993,1993,0,1993
5,A. James Stewart,1,2003,2003,0,2003
6,A. Johannes Pretorius,2,2006,2008.5,3.53553390593274,2011
7,A. Mankofsky,1,1994,1994,0,1994
8,A. Pernicks,1,1995,1995,0,1995
9,A. Ravishankar Rao,1,1993,1993,0,1993
10,A. Robin Forrest,2,1995,1995.5,0.707106781186548,1996
11,Aaditya G. Landge,1,2012,2012,0,2012
12,Aakash Goel,1,2014,2014,0,2014
13,Aamir Sadiq,1,2002,2002,0,2002
14,Aaron Ault,1,2006,2006,0,2006
15,Aaron Barsky,1,2008,2008,0,2008
16,Aaron Burgman,1,2004,2004,0,2004
17,Aaron E. Lefohn,2,2003,2003,0,2003
18,Aaron Hoff,1,2008,2008,0,2008
19,Aaron J. Quigley,1,2008,2008,0,2008
20,Aaron Knoll,8,2007,2013.375,3.66206421103103,2017
21,Aaron Striegel,1,2011,2011,0,2011
22,Aaron Trott,1,1996,1996,0,1996
23,Aarthy Sankari Bhaskar,1,2016,2016,0,2016
24,Aba-Sah Dadzie,1,2009,2009,0,2009
25,Abdallah Sherif Radwan Mohamed,1,2021,2021,0,2021
26,Abdelkrim Mebarki,1,2005,2005,0,2005
27,Abdul Rahman Shaikh,1,2021,2021,0,2021
28,Abdul Waheed,1,1993,1993,0,1993
29,Abhinav Bhatele,2,2012,2013,1.4142135623731,2014
30,Abhraneel Sarma,1,2021,2021,0,2021
31,Abigail Mosca,1,2018,2018,0,2018
32,Abish Malik,4,2011,2012.75,1.5,2014
33,Abishek Puri,1,2019,2019,0,2019
34,Abraham Kupfer,1,1996,1996,0,1996
35,Abraham Stephens,1,2005,2005,0,2005
36,Acar Tamersoy,1,2017,2017,0,2017
37,Achim Ebert,2,2004,2007.5,4.94974746830583,2011
38,Adalberto L. Simeone,1,2008,2008,0,2008
39,Adam B. Forgang,1,1996,1996,0,1996
40,Adam Bodnar,1,2006,2006,0,2006
41,Adam Coscia,2,2021,2021,0,2021
42,Adam Finkelstein,1,2000,2000,0,2000
43,Adam Gepner,1,2004,2004,0,2004
44,Adam Huang,2,2002,2003.5,2.12132034355964,2005
45,Adam Hunter,1,2000,2000,0,2000
46,Adam James Bradley,1,2019,2019,0,2019
47,Adam Jansen,1,2011,2011,0,2011
48,Adam Jurcík,1,2019,2019,0,2019
49,Adam Kunen,1,2020,2020,0,2020
50,Adam M. Smith 0001,1,2018,2018,0,2018
51,Adam Perer,11,2006,2012.90909090909,4.25334093283258,2019
52,Adam Sah,1,2020,2020,0,2020
53,Adam Summers,1,2017,2017,0,2017
54,Adam W. Anderson,1,2001,2001,0,2001
55,Adeel Khamisa,1,2008,2008,0,2008
56,Adel Ahmed,2,2004,2005.5,2.12132034355964,2007
57,Adi Levin,1,2001,2001,0,2001
58,Aditeya Pandey,1,2019,2019,0,2019
59,Aditi Majumder,7,2000,2007.28571428571,3.54562104171167,2010
60,Aditya G. Parameswaran,1,2019,2019,0,2019
61,Aditya Johri,1,2014,2014,0,2014
62,Aditya Kalro,1,2017,2017,0,2017
63,Adrian Freed,1,1998,1998,0,1998
64,Adrian Maries,1,2013,2013,0,2013
65,Adrienn Szabó,1,2011,2011,0,2011
66,Agata Opalach,1,2001,2001,0,2001
67,Agnès Braud,1,2014,2014,0,2014
68,Agus Sudjianto,1,2007,2007,0,2007
69,Ahmad M. Abusalah,1,2008,2008,0,2008
70,Ahmed Saad,2,2010,2010.5,0.707106781186548,2011
71,Ahsan Qamar,1,2020,2020,0,2020
72,Aida Nordman,1,2018,2018,0,2018
73,Aidan Slingsby,13,2007,2012,2.82842712474619,2016
74,Aidong Lu,7,2002,2007.85714285714,3.71611676478603,2012
75,Aili Li,1,2004,2004,0,2004
76,Airong Luo,1,2012,2012,0,2012
77,Ajith Mascarenhas,2,2000,2003,4.24264068711928,2006
78,Akhilesh Camisetty,1,2018,2018,0,2018
79,Al Globus,3,1990,1991.66666666667,2.08166599946613,1994
80,Alain Burette,1,2004,2004,0,2004
81,Alain Filbois,1,2005,2005,0,2005
82,Alan Chu,1,2009,2009,0,2009
83,Alan D. Kalvin,3,1992,1996.33333333333,4.50924975282289,2001
84,Alan Evans,1,1991,1991,0,1991
85,Alan Gay,1,1993,1993,0,1993
